[hunt] up to 1.000e+16 | primes=1936567 t1=1106407 t2=463106 residual=367054 | 6.0s
[hunt] up to 1.000e+16 | primes=1965199 t1=1122871 t2=469877 residual=372451 | 6.1s
[hunt] up to 1.000e+16 | primes=1993599 t1=1139285 t2=476550 residual=377764 | 6.2s
[hunt] up to 1.000e+16 | primes=2022083 t1=1155531 t2=483424 residual=383128 | 6.3s
[hunt] up to 1.000e+16 | primes=2050362 t1=1171578 t2=490250 residual=388534 | 6.3s
[hunt] up to 1.000e+16 | primes=2078721 t1=1187869 t2=496837 residual=394015 | 6.4s
[hunt] up to 1.000e+16 | primes=2107016 t1=1204001 t2=503689 residual=399326 | 6.5s
[hunt] up to 1.000e+16 | primes=2135512 t1=1220212 t2=510551 residual=404749 | 6.6s
[hunt] up to 1.000e+16 | primes=2163759 t1=1236325 t2=517372 residual=410062 | 6.7s
[hunt] up to 1.000e+16 | primes=2192325 t1=1252758 t2=524173 residual=415394 | 6.8s
[hunt] up to 1.000e+16 | primes=2220848 t1=1269134 t2=530915 residual=420799 | 6.9s
[hunt] up to 1.000e+16 | primes=2249177 t1=1285284 t2=537653 residual=426240 | 7.0s
[hunt] up to 1.000e+16 | primes=2277636 t1=1301580 t2=544384 residual=431672 | 7.0s
[hunt] up to 1.000e+16 | primes=2305768 t1=1317711 t2=551002 residual=437055 | 7.1s
[hunt] up to 1.000e+16 | primes=2334287 t1=1334104 t2=557832 residual=442351 | 7.2s
[hunt] up to 1.000e+16 | primes=2362603 t1=1350267 t2=564620 residual=447716 | 7.3s
[hunt] up to 1.000e+16 | primes=2391073 t1=1366509 t2=571413 residual=453151 | 7.4s
[hunt] up to 1.000e+16 | primes=2419706 t1=1382782 t2=578370 residual=458554 | 7.5s
[hunt] up to 1.000e+16 | primes=2448060 t1=1398979 t2=585117 residual=463964 | 7.6s
[hunt] up to 1.000e+16 | primes=2476311 t1=1415127 t2=591862 residual=469322 | 7.7s
[hunt] up to 1.000e+16 | primes=2504795 t1=1431364 t2=598685 residual=474746 | 7.8s
[hunt] up to 1.000e+16 | primes=2533248 t1=1447618 t2=605506 residual=480124 | 7.8s
[hunt] up to 1.000e+16 | primes=2561675 t1=1463910 t2=612331 residual=485434 | 7.9s
[hunt] up to 1.000e+16 | primes=2589983 t1=1480066 t2=619155 residual=490762 | 8.0s
[hunt] up to 1.000e+16 | primes=2618536 t1=1496508 t2=625845 residual=496183 | 8.1s
