[hunt] up to 1.000e+16 | primes=115755 cert=115755 resid_full=0 resid_partial=0 | 4.7s
[hunt] up to 1.000e+16 | primes=117505 cert=117505 resid_full=0 resid_partial=0 | 4.8s
[hunt] up to 1.000e+16 | primes=119269 cert=119269 resid_full=0 resid_partial=0 | 4.9s
[hunt] up to 1.000e+16 | primes=121002 cert=121002 resid_full=0 resid_partial=0 | 5.0s
[hunt] up to 1.000e+16 | primes=122697 cert=122697 resid_full=0 resid_partial=0 | 5.0s
[hunt] up to 1.000e+16 | primes=124496 cert=124496 resid_full=0 resid_partial=0 | 5.1s
[hunt] up to 1.000e+16 | primes=126301 cert=126301 resid_full=0 resid_partial=0 | 5.2s
[hunt] up to 1.000e+16 | primes=128097 cert=128097 resid_full=0 resid_partial=0 | 5.2s
[hunt] up to 1.000e+16 | primes=129888 cert=129888 resid_full=0 resid_partial=0 | 5.3s
[hunt] up to 1.000e+16 | primes=131709 cert=131709 resid_full=0 resid_partial=0 | 5.4s
[hunt] up to 1.000e+16 | primes=133412 cert=133412 resid_full=0 resid_partial=0 | 5.5s
[hunt] up to 1.000e+16 | primes=135186 cert=135186 resid_full=0 resid_partial=0 | 5.5s
[hunt] up to 1.000e+16 | primes=136993 cert=136993 resid_full=0 resid_partial=0 | 5.6s
[hunt] up to 1.000e+16 | primes=138772 cert=138772 resid_full=0 resid_partial=0 | 5.7s
[hunt] up to 1.000e+16 | primes=140567 cert=140567 resid_full=0 resid_partial=0 | 5.8s
[hunt] up to 1.000e+16 | primes=142366 cert=142366 resid_full=0 resid_partial=0 | 5.9s
[hunt] up to 1.000e+16 | primes=144205 cert=144205 resid_full=0 resid_partial=0 | 6.0s
[hunt] up to 1.000e+16 | primes=145922 cert=145922 resid_full=0 resid_partial=0 | 6.0s
[hunt] up to 1.000e+16 | primes=147749 cert=147749 resid_full=0 resid_partial=0 | 6.1s
[hunt] up to 1.000e+16 | primes=149491 cert=149491 resid_full=0 resid_partial=0 | 6.2s
[hunt] up to 1.000e+16 | primes=151242 cert=151242 resid_full=0 resid_partial=0 | 6.2s
[hunt] up to 1.000e+16 | primes=153041 cert=153041 resid_full=0 resid_partial=0 | 6.3s
[hunt] up to 1.000e+16 | primes=154830 cert=154830 resid_full=0 resid_partial=0 | 6.4s
[hunt] up to 1.000e+16 | primes=156654 cert=156654 resid_full=0 resid_partial=0 | 6.4s
[hunt] up to 1.000e+16 | primes=158463 cert=158463 resid_full=0 resid_partial=0 | 6.5s
[hunt] up to 1.000e+16 | primes=160207 cert=160207 resid_full=0 resid_partial=0 | 6.5s
[hunt] up to 1.000e+16 | primes=161925 cert=161925 resid_full=0 resid_partial=0 | 6.6s
[hunt] up to 1.000e+16 | primes=163683 cert=163683 resid_full=0 resid_partial=0 | 6.7s
[hunt] up to 1.000e+16 | primes=165470 cert=165470 resid_full=0 resid_partial=0 | 6.8s
[hunt] up to 1.000e+16 | primes=167276 cert=167276 resid_full=0 resid_partial=0 | 6.8s
[hunt] up to 1.000e+16 | primes=169033 cert=169033 resid_full=0 resid_partial=0 | 6.9s
[hunt] up to 1.000e+16 | primes=170849 cert=170849 resid_full=0 resid_partial=0 | 7.0s
[hunt] up to 1.000e+16 | primes=172600 cert=172600 resid_full=0 resid_partial=0 | 7.1s
[hunt] up to 1.000e+16 | primes=174410 cert=174410 resid_full=0 resid_partial=0 | 7.2s
[hunt] up to 1.000e+16 | primes=176206 cert=176206 resid_full=0 resid_partial=0 | 7.3s
[hunt] up to 1.000e+16 | primes=178025 cert=178025 resid_full=0 resid_partial=0 | 7.4s
[hunt] up to 1.000e+16 | primes=179843 cert=179843 resid_full=0 resid_partial=0 | 7.4s
[hunt] up to 1.000e+16 | primes=181583 cert=181583 resid_full=0 resid_partial=0 | 7.5s
[hunt] up to 1.000e+16 | primes=183328 cert=183328 resid_full=0 resid_partial=0 | 7.5s
[hunt] up to 1.000e+16 | primes=185172 cert=185172 resid_full=0 resid_partial=0 | 7.6s
[hunt] up to 1.000e+16 | primes=186875 cert=186875 resid_full=0 resid_partial=0 | 7.7s
[hunt] up to 1.000e+16 | primes=188652 cert=188652 resid_full=0 resid_partial=0 | 7.8s
[hunt] up to 1.000e+16 | primes=190491 cert=190491 resid_full=0 resid_partial=0 | 7.8s
[hunt] up to 1.000e+16 | primes=192293 cert=192293 resid_full=0 resid_partial=0 | 7.9s
[hunt] up to 1.000e+16 | primes=194157 cert=194157 resid_full=0 resid_partial=0 | 8.0s
[hunt] up to 1.000e+16 | primes=195941 cert=195941 resid_full=0 resid_partial=0 | 8.0s
[hunt] up to 1.000e+16 | primes=197674 cert=197674 resid_full=0 resid_partial=0 | 8.1s
[hunt] up to 1.000e+16 | primes=199437 cert=199437 resid_full=0 resid_partial=0 | 8.2s
[hunt] up to 1.000e+16 | primes=201249 cert=201249 resid_full=0 resid_partial=0 | 8.2s
[hunt] up to 1.000e+16 | primes=202983 cert=202983 resid_full=0 resid_partial=0 | 8.3s
[hunt] up to 1.000e+16 | primes=204807 cert=204807 resid_full=0 resid_partial=0 | 8.3s
[hunt] up to 1.000e+16 | primes=206630 cert=206630 resid_full=0 resid_partial=0 | 8.4s
[hunt] up to 1.000e+16 | primes=208454 cert=208454 resid_full=0 resid_partial=0 | 8.5s
[hunt] up to 1.000e+16 | primes=210287 cert=210287 resid_full=0 resid_partial=0 | 8.6s
[hunt] up to 1.000e+16 | primes=212022 cert=212022 resid_full=0 resid_partial=0 | 8.6s
[hunt] up to 1.000e+16 | primes=213831 cert=213831 resid_full=0 resid_partial=0 | 8.7s
[hunt] up to 1.000e+16 | primes=215589 cert=215589 resid_full=0 resid_partial=0 | 8.8s
[hunt] up to 1.000e+16 | primes=217428 cert=217428 resid_full=0 resid_partial=0 | 8.9s
[hunt] up to 1.000e+16 | primes=219202 cert=219202 resid_full=0 resid_partial=0 | 9.0s
[hunt] up to 1.000e+16 | primes=220960 cert=220960 resid_full=0 resid_partial=0 | 9.0s
[hunt] up to 1.000e+16 | primes=222755 cert=222755 resid_full=0 resid_partial=0 | 9.1s
[hunt] up to 1.000e+16 | primes=224581 cert=224581 resid_full=0 resid_partial=0 | 9.1s
[hunt] up to 1.000e+16 | primes=226384 cert=226384 resid_full=0 resid_partial=0 | 9.2s
[hunt] up to 1.000e+16 | primes=228213 cert=228213 resid_full=0 resid_partial=0 | 9.3s
[hunt] up to 1.000e+16 | primes=230031 cert=230031 resid_full=0 resid_partial=0 | 9.3s
[hunt] up to 1.000e+16 | primes=231733 cert=231733 resid_full=0 resid_partial=0 | 9.4s
[hunt] up to 1.000e+16 | primes=233547 cert=233547 resid_full=0 resid_partial=0 | 9.5s
[hunt] up to 1.000e+16 | primes=235283 cert=235283 resid_full=0 resid_partial=0 | 9.6s
[hunt] up to 1.000e+16 | primes=237076 cert=237076 resid_full=0 resid_partial=0 | 9.6s
[hunt] up to 1.000e+16 | primes=238867 cert=238867 resid_full=0 resid_partial=0 | 9.7s
[hunt] up to 1.000e+16 | primes=240642 cert=240642 resid_full=0 resid_partial=0 | 9.7s
[hunt] up to 1.000e+16 | primes=242427 cert=242427 resid_full=0 resid_partial=0 | 9.8s
[hunt] up to 1.000e+16 | primes=244242 cert=244242 resid_full=0 resid_partial=0 | 9.9s
[hunt] up to 1.000e+16 | primes=246026 cert=246026 resid_full=0 resid_partial=0 | 9.9s
[hunt] up to 1.000e+16 | primes=247822 cert=247822 resid_full=0 resid_partial=0 | 10.0s
[hunt] up to 1.000e+16 | primes=249579 cert=249579 resid_full=0 resid_partial=0 | 10.1s
