[hunt] up to 5.000e+18 | primes=24237 t1=13932 t2=5738 residual=4567 | 0.1s
[hunt] up to 5.000e+18 | primes=48556 t1=27932 t2=11578 residual=9046 | 0.2s
[hunt] up to 5.000e+18 | primes=72915 t1=41893 t2=17423 residual=13599 | 0.3s
[hunt] up to 5.000e+18 | primes=97286 t1=55893 t2=23211 residual=18182 | 0.3s
[hunt] up to 5.000e+18 | primes=121691 t1=69871 t2=29074 residual=22746 | 0.4s
[hunt] up to 5.000e+18 | primes=146308 t1=84102 t2=34877 residual=27329 | 0.5s
[hunt] up to 5.000e+18 | primes=170493 t1=98062 t2=40646 residual=31785 | 0.6s
[hunt] up to 5.000e+18 | primes=194641 t1=111726 t2=46533 residual=36382 | 0.7s
[hunt] up to 5.000e+18 | primes=218855 t1=125613 t2=52297 residual=40945 | 0.8s
[hunt] up to 5.000e+18 | primes=243194 t1=139531 t2=58060 residual=45603 | 0.9s
[hunt] up to 5.000e+18 | primes=267418 t1=153389 t2=63817 residual=50212 | 0.9s
[hunt] up to 5.000e+18 | primes=291827 t1=167451 t2=69684 residual=54692 | 1.0s
[hunt] up to 5.000e+18 | primes=316080 t1=181336 t2=75517 residual=59227 | 1.1s
[hunt] up to 5.000e+18 | primes=340669 t1=195428 t2=81415 residual=63826 | 1.2s
[hunt] up to 5.000e+18 | primes=364725 t1=209320 t2=87058 residual=68347 | 1.3s
[hunt] up to 5.000e+18 | primes=389435 t1=223416 t2=93025 residual=72994 | 1.4s
[hunt] up to 5.000e+18 | primes=413878 t1=237579 t2=98769 residual=77530 | 1.5s
[hunt] up to 5.000e+18 | primes=438043 t1=251437 t2=104470 residual=82136 | 1.5s
[hunt] up to 5.000e+18 | primes=462613 t1=265604 t2=110241 residual=86768 | 1.6s
[hunt] up to 5.000e+18 | primes=486882 t1=279525 t2=116011 residual=91346 | 1.7s
[hunt] up to 5.000e+18 | primes=511427 t1=293681 t2=121652 residual=96094 | 1.8s
[hunt] up to 5.000e+18 | primes=536108 t1=307812 t2=127534 residual=100762 | 1.9s
[hunt] up to 5.000e+18 | primes=560184 t1=321658 t2=133266 residual=105260 | 2.0s
[hunt] up to 5.000e+18 | primes=584720 t1=335667 t2=139062 residual=109991 | 2.1s
[hunt] up to 5.000e+18 | primes=609006 t1=349570 t2=144854 residual=114582 | 2.1s
[hunt] up to 5.000e+18 | primes=633252 t1=363505 t2=150608 residual=119139 | 2.2s
[hunt] up to 5.000e+18 | primes=657819 t1=377623 t2=156404 residual=123792 | 2.3s
[hunt] up to 5.000e+18 | primes=682347 t1=391658 t2=162281 residual=128408 | 2.4s
[hunt] up to 5.000e+18 | primes=706647 t1=405536 t2=168042 residual=133069 | 2.5s
[hunt] up to 5.000e+18 | primes=731021 t1=419415 t2=174061 residual=137545 | 2.6s
[hunt] up to 5.000e+18 | primes=755595 t1=433550 t2=179913 residual=142132 | 2.7s
[hunt] up to 5.000e+18 | primes=779560 t1=447223 t2=185633 residual=146704 | 2.8s
[hunt] up to 5.000e+18 | primes=804169 t1=461185 t2=191605 residual=151379 | 2.8s
[hunt] up to 5.000e+18 | primes=828467 t1=475136 t2=197397 residual=155934 | 2.9s
[hunt] up to 5.000e+18 | primes=852834 t1=489106 t2=203139 residual=160589 | 3.0s
[hunt] up to 5.000e+18 | primes=877214 t1=503207 t2=208909 residual=165098 | 3.1s
[hunt] up to 5.000e+18 | primes=901825 t1=517343 t2=214698 residual=169784 | 3.2s
